"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5164758","SRX5164758","SRR8353609","SAMN10615548","4-14-1009-10","4-14-1009-10","4-14-1009-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1009-10","Collection Country: USA Collection Year: 2011"
"SRX5164759","SRX5164759","SRR8353610","SAMN10615549","4-14-1008-25","4-14-1008-25","4-14-1008-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1008-25","Collection Country: USA Collection Year: 2012"
"SRX5164760","SRX5164760","SRR8353611","SAMN10615550","4-14-1010-10","4-14-1010-10","4-14-1010-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1010-10","Collection Country: USA Collection Year: 2012"
"SRX5164761","SRX5164761","SRR8353612","SAMN10615551","4-14-1011-05","4-14-1011-05","4-14-1011-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1011-05","Collection Country: USA Collection Year: 2011"
"SRX5164762","SRX5164762","SRR8353613","SAMN10615552","4-14-1010-05","4-14-1010-05","4-14-1010-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1010-05","Collection Country: USA Collection Year: 2011"
"SRX5164763","SRX5164763","SRR8353614","SAMN10615553","4-14-1010-25","4-14-1010-25","4-14-1010-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1010-25","Collection Country: USA Collection Year: 2012"
"SRX5164764","SRX5164764","SRR8353615","SAMN10615554","4-14-1011-15","4-14-1011-15","4-14-1011-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1011-15","Collection Country: USA Collection Year: 2012"
"SRX5164765","SRX5164765","SRR8353616","SAMN10615555","4-14-1010-15","4-14-1010-15","4-14-1010-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1010-15","Collection Country: USA Collection Year: 2012"
"SRX5164766","SRX5164766","SRR8353617","SAMN10615556","4-14-1010-20","4-14-1010-20","4-14-1010-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1010-20","Collection Country: USA Collection Year: 2012"
"SRX5164767","SRX5164767","SRR8353618","SAMN10615557","4-14-1011-20","4-14-1011-20","4-14-1011-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1011-20","Collection Country: USA Collection Year: 2012"
"SRX5164768","SRX5164768","SRR8353619","SAMN10615558","4-14-1011-10","4-14-1011-10","4-14-1011-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1011-10","Collection Country: USA Collection Year: 2011"
"SRX5164769","SRX5164769","SRR8353620","SAMN10615559","4-14-1012-20","4-14-1012-20","4-14-1012-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1012-20","Collection Country: USA Collection Year: 2012"
"SRX5164770","SRX5164770","SRR8353621","SAMN10615560","4-14-1013-15","4-14-1013-15","4-14-1013-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1013-15","Collection Country: USA Collection Year: 2012"
"SRX5164771","SRX5164771","SRR8353622","SAMN10615561","4-14-1012-05","4-14-1012-05","4-14-1012-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1012-05","Collection Country: USA Collection Year: 2011"
"SRX5164772","SRX5164772","SRR8353623","SAMN10615562","4-14-1012-15","4-14-1012-15","4-14-1012-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1012-15","Collection Country: USA Collection Year: 2012"
"SRX5164773","SRX5164773","SRR8353624","SAMN10615563","4-14-1013-10","4-14-1013-10","4-14-1013-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1013-10","Collection Country: USA Collection Year: 2011"
"SRX5164774","SRX5164774","SRR8353625","SAMN10615564","4-14-1011-25","4-14-1011-25","4-14-1011-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1011-25","Collection Country: USA Collection Year: 2012"
"SRX5164775","SRX5164775","SRR8353626","SAMN10615565","4-14-1012-10","4-14-1012-10","4-14-1012-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1012-10","Collection Country: USA Collection Year: 2012"
"SRX5164776","SRX5164776","SRR8353627","SAMN10615566","4-14-1012-25","4-14-1012-25","4-14-1012-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1012-25","Collection Country: USA Collection Year: 2012"
"SRX5164777","SRX5164777","SRR8353628","SAMN10615567","4-14-1013-05","4-14-1013-05","4-14-1013-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1013-05","Collection Country: USA Collection Year: 2011"
"SRX5164778","SRX5164778","SRR8353629","SAMN10615568","4-14-1015-15","4-14-1015-15","4-14-1015-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1015-15","Collection Country: USA Collection Year: 2012"
"SRX5164779","SRX5164779","SRR8353630","SAMN10615569","4-14-1015-25","4-14-1015-25","4-14-1015-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1015-25","Collection Country: USA Collection Year: 2012"
"SRX5164780","SRX5164780","SRR8353631","SAMN10615570","4-14-1015-10","4-14-1015-10","4-14-1015-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1015-10","Collection Country: USA Collection Year: 2012"
"SRX5164781","SRX5164781","SRR8353632","SAMN10615571","4-14-1015-20","4-14-1015-20","4-14-1015-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1015-20","Collection Country: USA Collection Year: 2012"
"SRX5164782","SRX5164782","SRR8353633","SAMN10615572","4-14-1017-10","4-14-1017-10","4-14-1017-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1017-10","Collection Country: USA Collection Year: 2012"
"SRX5164783","SRX5164783","SRR8353634","SAMN10615573","4-14-1015-05","4-14-1015-05","4-14-1015-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1015-05","Collection Country: USA Collection Year: 2011"
"SRX5164784","SRX5164784","SRR8353635","SAMN10615574","4-14-1013-20","4-14-1013-20","4-14-1013-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1013-20","Collection Country: USA Collection Year: 2012"
"SRX5164785","SRX5164785","SRR8353636","SAMN10615575","4-14-1018-25","4-14-1018-25","4-14-1018-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1018-25","Collection Country: USA Collection Year: 2012"
"SRX5164786","SRX5164786","SRR8353637","SAMN10615576","4-14-1017-20","4-14-1017-20","4-14-1017-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1017-20","Collection Country: USA Collection Year: 2012"
"SRX5164787","SRX5164787","SRR8353638","SAMN10615577","4-14-1018-20","4-14-1018-20","4-14-1018-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1018-20","Collection Country: USA Collection Year: 2012"
"SRX5164788","SRX5164788","SRR8353639","SAMN10615578","4-14-1017-15","4-14-1017-15","4-14-1017-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1017-15","Collection Country: USA Collection Year: 2012"
"SRX5164789","SRX5164789","SRR8353640","SAMN10615579","4-14-1018-15","4-14-1018-15","4-14-1018-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1018-15","Collection Country: USA Collection Year: 2012"
"SRX5164790","SRX5164790","SRR8353641","SAMN10615580","4-14-1018-05","4-14-1018-05","4-14-1018-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1018-05","Collection Country: USA Collection Year: 2011"
"SRX5164791","SRX5164791","SRR8353642","SAMN10615581","4-14-1019-15","4-14-1019-15","4-14-1019-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1019-15","Collection Country: USA Collection Year: 2012"
"SRX5164792","SRX5164792","SRR8353643","SAMN10615582","4-14-1020-10","4-14-1020-10","4-14-1020-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1020-10","Collection Country: USA Collection Year: 2012"
"SRX5164793","SRX5164793","SRR8353644","SAMN10615583","4-14-1019-10","4-14-1019-10","4-14-1019-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1019-10","Collection Country: USA Collection Year: 2011"
"SRX5164794","SRX5164794","SRR8353645","SAMN10615584","4-14-1020-05","4-14-1020-05","4-14-1020-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1020-05","Collection Country: USA Collection Year: 2011"
"SRX5164795","SRX5164795","SRR8353646","SAMN10615585","4-14-1019-05","4-14-1019-05","4-14-1019-05","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1019-05","Collection Country: USA Collection Year: 2011"
"SRX5164796","SRX5164796","SRR8353647","SAMN10615586","4-14-1019-20","4-14-1019-20","4-14-1019-20","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1019-20","Collection Country: USA Collection Year: 2012"
"SRX5164797","SRX5164797","SRR8353648","SAMN10615587","4-14-1019-25","4-14-1019-25","4-14-1019-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1019-25","Collection Country: USA Collection Year: 2012"
"SRX5164798","SRX5164798","SRR8353649","SAMN10615588","4-14-1020-15","4-14-1020-15","4-14-1020-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1020-15","Collection Country: USA Collection Year: 2012"
"SRX5164799","SRX5164799","SRR8353650","SAMN10615589","4-14-1021-25","4-14-1021-25","4-14-1021-25","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1021-25","Collection Country: USA Collection Year: 2012"
"SRX5164800","SRX5164800","SRR8353651","SAMN10615590","4-14-1021-10","4-14-1021-10","4-14-1021-10","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1021-10","Collection Country: USA Collection Year: 2011"
"SRX5164801","SRX5164801","SRR8353652","SAMN10615591","4-14-1021-15","4-14-1021-15","4-14-1021-15","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","4-14-1021-15","Collection Country: USA Collection Year: 2012"
"SRX5164802","SRX5164802","SRR8353653","SAMN10615592","B645-M03","B645-M03","B645-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B645-M03","Collection Country: USA Collection Year: 2012"
"SRX5164803","SRX5164803","SRR8353654","SAMN10616048","B590-M03","B590-M03","B590-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B590-M03","Collection Country: USA Collection Year: 2012"
"SRX5164804","SRX5164804","SRR8353655","SAMN10616049","B635-M03","B635-M03","B635-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B635-M03","Collection Country: USA Collection Year: 2013"
"SRX5164805","SRX5164805","SRR8353656","SAMN10616050","B644-M03","B644-M03","B644-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B644-M03","Collection Country: USA Collection Year: 2013"
"SRX5164806","SRX5164806","SRR8353657","SAMN10616051","B583-M03","B583-M03","B583-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B583-M03","Collection Country: USA Collection Year: 2012"
"SRX5164807","SRX5164807","SRR8353658","SAMN10616052","B640-M03","B640-M03","B640-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B640-M03","Collection Country: USA Collection Year: 2013"
"SRX5164808","SRX5164808","SRR8353659","SAMN10616053","B620-M03","B620-M03","B620-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B620-M03","Collection Country: USA Collection Year: 2012"
"SRX5164809","SRX5164809","SRR8353660","SAMN10616054","B651-M03","B651-M03","B651-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B651-M03","Collection Country: USA Collection Year: 2013"
"SRX5164810","SRX5164810","SRR8353661","SAMN10616055","B582-M03","B582-M03","B582-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B582-M03","Collection Country: USA Collection Year: 2012"
"SRX5164811","SRX5164811","SRR8353662","SAMN10616056","B591-M03","B591-M03","B591-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B591-M03","Collection Country: USA Collection Year: 2013"
"SRX5164812","SRX5164812","SRR8353663","SAMN10616057","B522-M03","B522-M03","B522-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B522-M03","Collection Country: USA Collection Year: 2012"
"SRX5164813","SRX5164813","SRR8353664","SAMN10616058","B686-M03","B686-M03","B686-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B686-M03","Collection Country: USA Collection Year: 2013"
"SRX5164814","SRX5164814","SRR8353665","SAMN10616059","B689-M03","B689-M03","B689-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B689-M03","Collection Country: USA Collection Year: 2012"
"SRX5164815","SRX5164815","SRR8353666","SAMN10616060","B453-M03","B453-M03","B453-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B453-M03","Collection Country: USA Collection Year: 2012"
"SRX5164816","SRX5164816","SRR8353667","SAMN10616061","B511-M03","B511-M03","B511-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B511-M03","Collection Country: USA Collection Year: 2013"
"SRX5164817","SRX5164817","SRR8353668","SAMN10616062","B688-M03","B688-M03","B688-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B688-M03","Collection Country: USA Collection Year: 2012"
"SRX5164818","SRX5164818","SRR8353669","SAMN10616063","B456-M03","B456-M03","B456-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B456-M03","Collection Country: USA Collection Year: 2012"
"SRX5164819","SRX5164819","SRR8353670","SAMN10616064","B928-M03","B928-M03","B928-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B928-M03","Collection Country: USA Collection Year: 2012"
"SRX5164820","SRX5164820","SRR8353671","SAMN10616065","B666-M03","B666-M03","B666-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B666-M03","Collection Country: USA Collection Year: 2012"
"SRX5164821","SRX5164821","SRR8353672","SAMN10616066","B503-M03","B503-M03","B503-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B503-M03","Collection Country: USA Collection Year: 2012"
"SRX5164822","SRX5164822","SRR8353673","SAMN10616067","B440-M03","B440-M03","B440-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B440-M03","Collection Country: USA Collection Year: 2012"
"SRX5164823","SRX5164823","SRR8353674","SAMN10616068","B755-M03","B755-M03","B755-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B755-M03","Collection Country: USA Collection Year: 2013"
"SRX5164824","SRX5164824","SRR8353675","SAMN10616069","B956-M03","B956-M03","B956-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B956-M03","Collection Country: USA Collection Year: 2012"
"SRX5164825","SRX5164825","SRR8353676","SAMN10616070","B702-M03","B702-M03","B702-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B702-M03","Collection Country: USA Collection Year: 2013"
"SRX5164826","SRX5164826","SRR8353677","SAMN10616071","B754-M03","B754-M03","B754-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B754-M03","Collection Country: USA Collection Year: 2012"
"SRX5164827","SRX5164827","SRR8353678","SAMN10616072","B941-M03","B941-M03","B941-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B941-M03","Collection Country: USA Collection Year: 2012"
"SRX5164828","SRX5164828","SRR8353679","SAMN10616073","B991-M03","B991-M03","B991-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B991-M03","Collection Country: USA Collection Year: 2012"
"SRX5164829","SRX5164829","SRR8353680","SAMN10616074","B972-M03","B972-M03","B972-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B972-M03","Collection Country: USA Collection Year: 2013"
"SRX5164830","SRX5164830","SRR8353681","SAMN10616075","B782-M03","B782-M03","B782-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B782-M03","Collection Country: USA Collection Year: 2012"
"SRX5164831","SRX5164831","SRR8353682","SAMN10616076","B937-M03","B937-M03","B937-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B937-M03","Collection Country: USA Collection Year: 2013"
"SRX5164832","SRX5164832","SRR8353683","SAMN10616077","B043-M08","B043-M08","B043-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B043-M08","Collection Country: USA Collection Year: 2013"
"SRX5164833","SRX5164833","SRR8353684","SAMN10616078","B819-M03","B819-M03","B819-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B819-M03","Collection Country: USA Collection Year: 2013"
"SRX5164834","SRX5164834","SRR8353685","SAMN10616079","B005-M08","B005-M08","B005-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B005-M08","Collection Country: USA Collection Year: 2012"
"SRX5164835","SRX5164835","SRR8353686","SAMN10616080","B809-M03","B809-M03","B809-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B809-M03","Collection Country: USA Collection Year: 2012"
"SRX5164836","SRX5164836","SRR8353687","SAMN10616081","B853-M03","B853-M03","B853-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B853-M03","Collection Country: USA Collection Year: 2012"
"SRX5164837","SRX5164837","SRR8353688","SAMN10616082","B044-M08","B044-M08","B044-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B044-M08","Collection Country: USA Collection Year: 2013"
"SRX5164838","SRX5164838","SRR8353689","SAMN10616083","B791-M03","B791-M03","B791-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B791-M03","Collection Country: USA Collection Year: 2012"
"SRX5164839","SRX5164839","SRR8353690","SAMN10616084","B877-M03","B877-M03","B877-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B877-M03","Collection Country: USA Collection Year: 2012"
"SRX5164840","SRX5164840","SRR8353691","SAMN10616085","B836-M03","B836-M03","B836-M03","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B836-M03","Collection Country: USA Collection Year: 2012"
"SRX5164841","SRX5164841","SRR8353692","SAMN10616086","B178-M08","B178-M08","B178-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B178-M08","Collection Country: USA Collection Year: 2013"
"SRX5164842","SRX5164842","SRR8353693","SAMN10616087","B079-M08","B079-M08","B079-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B079-M08","Collection Country: USA Collection Year: 2012"
"SRX5164843","SRX5164843","SRR8353694","SAMN10616088","B148-M08","B148-M08","B148-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B148-M08","Collection Country: USA Collection Year: 2012"
"SRX5164844","SRX5164844","SRR8353695","SAMN10616089","B168-M08","B168-M08","B168-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B168-M08","Collection Country: USA Collection Year: 2013"
"SRX5164845","SRX5164845","SRR8353696","SAMN10616090","B069-M08","B069-M08","B069-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B069-M08","Collection Country: USA Collection Year: 2013"
"SRX5164846","SRX5164846","SRR8353697","SAMN10616091","B146-M08","B146-M08","B146-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B146-M08","Collection Country: USA Collection Year: 2013"
"SRX5164847","SRX5164847","SRR8353698","SAMN10616092","B165-M08","B165-M08","B165-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B165-M08","Collection Country: USA Collection Year: 2012"
"SRX5164848","SRX5164848","SRR8353699","SAMN10616093","B109-M08","B109-M08","B109-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B109-M08","Collection Country: USA Collection Year: 2012"
"SRX5164849","SRX5164849","SRR8353700","SAMN10616094","B182-M08","B182-M08","B182-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B182-M08","Collection Country: USA Collection Year: 2013"
"SRX5164850","SRX5164850","SRR8353701","SAMN10616095","B050-M08","B050-M08","B050-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B050-M08","Collection Country: USA Collection Year: 2012"
"SRX5164851","SRX5164851","SRR8353702","SAMN10616096","B122-M08","B122-M08","B122-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B122-M08","Collection Country: USA Collection Year: 2012"
"SRX5164852","SRX5164852","SRR8353703","SAMN10616097","B325-M08","B325-M08","B325-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B325-M08","Collection Country: USA Collection Year: 2013"
"SRX5164853","SRX5164853","SRR8353704","SAMN10616098","B208-M08","B208-M08","B208-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B208-M08","Collection Country: USA Collection Year: 2012"
"SRX5164854","SRX5164854","SRR8353705","SAMN10616099","B272-M08","B272-M08","B272-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B272-M08","Collection Country: USA Collection Year: 2013"
"SRX5164855","SRX5164855","SRR8353706","SAMN10616100","B291-M08","B291-M08","B291-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B291-M08","Collection Country: USA Collection Year: 2013"
"SRX5164856","SRX5164856","SRR8353707","SAMN10616101","B198-M08","B198-M08","B198-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B198-M08","Collection Country: USA Collection Year: 2012"
"SRX5164857","SRX5164857","SRR8353708","SAMN10616102","B230-M08","B230-M08","B230-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B230-M08","Collection Country: USA Collection Year: 2012"
"SRX5164858","SRX5164858","SRR8353709","SAMN10616103","B287-M08","B287-M08","B287-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B287-M08","Collection Country: USA Collection Year: 2013"
"SRX5164859","SRX5164859","SRR8353710","SAMN10616104","B221-M08","B221-M08","B221-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B221-M08","Collection Country: USA Collection Year: 2013"
"SRX5164860","SRX5164860","SRR8353711","SAMN10616105","B362-M08","B362-M08","B362-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B362-M08","Collection Country: USA Collection Year: 2012"
"SRX5164861","SRX5164861","SRR8353712","SAMN10616106","B190-M08","B190-M08","B190-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B190-M08","Collection Country: USA Collection Year: 2012"
"SRX5164862","SRX5164862","SRR8353713","SAMN10616107","B209-M08","B209-M08","B209-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B209-M08","Collection Country: USA Collection Year: 2013"
"SRX5164863","SRX5164863","SRR8353714","SAMN10616108","B562-M08","B562-M08","B562-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B562-M08","Collection Country: USA Collection Year: 2013"
"SRX5164864","SRX5164864","SRR8353715","SAMN10616109","B391-M08","B391-M08","B391-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B391-M08","Collection Country: USA Collection Year: 2013"
"SRX5164865","SRX5164865","SRR8353716","SAMN10616110","B547-M08","B547-M08","B547-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B547-M08","Collection Country: USA Collection Year: 2013"
"SRX5164866","SRX5164866","SRR8353717","SAMN10616111","B375-M08","B375-M08","B375-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B375-M08","Collection Country: USA Collection Year: 2013"
"SRX5164867","SRX5164867","SRR8353718","SAMN10616112","B421-M08","B421-M08","B421-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B421-M08","Collection Country: USA Collection Year: 2012"
"SRX5164868","SRX5164868","SRR8353719","SAMN10616113","B543-M08","B543-M08","B543-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B543-M08","Collection Country: USA Collection Year: 2013"
"SRX5164869","SRX5164869","SRR8353720","SAMN10616114","B405-M08","B405-M08","B405-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B405-M08","Collection Country: USA Collection Year: 2012"
"SRX5164870","SRX5164870","SRR8353721","SAMN10616115","B576-M08","B576-M08","B576-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B576-M08","Collection Country: USA Collection Year: 2013"
"SRX5164871","SRX5164871","SRR8353722","SAMN10616116","B363-M08","B363-M08","B363-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B363-M08","Collection Country: USA Collection Year: 2013"
"SRX5164872","SRX5164872","SRR8353723","SAMN10616117","B400-M08","B400-M08","B400-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B400-M08","Collection Country: USA Collection Year: 2013"
"SRX5164873","SRX5164873","SRR8353724","SAMN10616118","B425-M08","B425-M08","B425-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B425-M08","Collection Country: USA Collection Year: 2012"
"SRX5164874","SRX5164874","SRR8353725","SAMN10616119","B620-M08","B620-M08","B620-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B620-M08","Collection Country: USA Collection Year: 2012"
"SRX5164875","SRX5164875","SRR8353726","SAMN10616120","B651-M08","B651-M08","B651-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B651-M08","Collection Country: USA Collection Year: 2013"
"SRX5164876","SRX5164876","SRR8353727","SAMN10616121","B423-M08","B423-M08","B423-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B423-M08","Collection Country: USA Collection Year: 2013"
"SRX5164877","SRX5164877","SRR8353728","SAMN10616122","B608-M08","B608-M08","B608-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B608-M08","Collection Country: USA Collection Year: 2013"
"SRX5164878","SRX5164878","SRR8353729","SAMN10616123","B644-M08","B644-M08","B644-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B644-M08","Collection Country: USA Collection Year: 2013"
"SRX5164879","SRX5164879","SRR8353730","SAMN10616124","B666-M08","B666-M08","B666-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B666-M08","Collection Country: USA Collection Year: 2012"
"SRX5164880","SRX5164880","SRR8353731","SAMN10616125","B634-M08","B634-M08","B634-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B634-M08","Collection Country: USA Collection Year: 2013"
"SRX5164881","SRX5164881","SRR8353732","SAMN10616126","B582-M08","B582-M08","B582-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B582-M08","Collection Country: USA Collection Year: 2012"
"SRX5164882","SRX5164882","SRR8353733","SAMN10616127","B640-M08","B640-M08","B640-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B640-M08","Collection Country: USA Collection Year: 2013"
"SRX5164883","SRX5164883","SRR8353734","SAMN10616128","B621-M08","B621-M08","B621-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B621-M08","Collection Country: USA Collection Year: 2012"
"SRX5164884","SRX5164884","SRR8353735","SAMN10616129","B956-M08","B956-M08","B956-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B956-M08","Collection Country: USA Collection Year: 2012"
"SRX5164885","SRX5164885","SRR8353736","SAMN10616130","B456-M08","B456-M08","B456-M08","Illumina HiSeq 2000 paired end sequencing: UWMLBonussub1","B456-M08","Collection Country: USA Collection Year: 2012"
