"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5235427","SRX5235427","SRR8428082","SAMN10722626","B461-M05","B461-M05","B461-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B461-M05","Collection Country: USA Collection Year: 2014"
"SRX5235428","SRX5235428","SRR8428083","SAMN10722627","B188-M12","B188-M12","B188-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B188-M12","Collection Country: USA Collection Year: 2014"
"SRX5235429","SRX5235429","SRR8428084","SAMN10722628","B645-M10","B645-M10","B645-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B645-M10","Collection Country: USA Collection Year: 2012"
"SRX5235430","SRX5235430","SRR8428085","SAMN10722629","B461-M04","B461-M04","B461-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B461-M04","Collection Country: USA Collection Year: 2014"
"SRX5235431","SRX5235431","SRR8428086","SAMN10722630","B461-M10","B461-M10","B461-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B461-M10","Collection Country: USA Collection Year: 2014"
"SRX5235432","SRX5235432","SRR8428087","SAMN10722631","B331-M10","B331-M10","B331-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B331-M10","Collection Country: USA Collection Year: 2013"
"SRX5235433","SRX5235433","SRR8428088","SAMN10722632","B461-M03","B461-M03","B461-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B461-M03","Collection Country: USA Collection Year: 2014"
"SRX5235434","SRX5235434","SRR8428089","SAMN10722633","B193-M03","B193-M03","B193-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B193-M03","Collection Country: USA Collection Year: 2013"
"SRX5235435","SRX5235435","SRR8428090","SAMN10722634","B188-M03","B188-M03","B188-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B188-M03","Collection Country: USA Collection Year: 2013"
"SRX5235436","SRX5235436","SRR8428091","SAMN10722635","B193-M04","B193-M04","B193-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B193-M04","Collection Country: USA Collection Year: 2013"
