SRR9844126	sra-paired:SRR9844126
SRR9844127	sra-paired:SRR9844127
SRR9844128	sra-paired:SRR9844128
SRR9844129	sra-paired:SRR9844129
SRR9844130	sra-paired:SRR9844130
SRR9844131	sra-paired:SRR9844131
SRR9844132	sra-paired:SRR9844132
SRR9844133	sra-paired:SRR9844133
SRR9844134	sra-paired:SRR9844134
SRR9844135	sra-paired:SRR9844135
SRR9844136	sra-paired:SRR9844136
SRR9844137	sra-paired:SRR9844137
SRR9844138	sra-paired:SRR9844138
SRR9844139	sra-paired:SRR9844139
SRR9844140	sra-paired:SRR9844140
SRR9844141	sra-paired:SRR9844141
SRR9844142	sra-paired:SRR9844142
SRR9844143	sra-paired:SRR9844143
SRR9844144	sra-paired:SRR9844144
SRR9844145	sra-paired:SRR9844145
SRR9844146	sra-paired:SRR9844146
SRR9844147	sra-paired:SRR9844147
SRR9844148	sra-paired:SRR9844148
SRR9844149	sra-paired:SRR9844149
SRR9844150	sra-paired:SRR9844150
SRR9844151	sra-paired:SRR9844151
SRR9844152	sra-paired:SRR9844152
SRR9844153	sra-paired:SRR9844153
SRR9844154	sra-paired:SRR9844154
SRR9844155	sra-paired:SRR9844155
SRR9844156	sra-paired:SRR9844156
SRR9844157	sra-paired:SRR9844157
SRR9844158	sra-paired:SRR9844158
SRR9844159	sra-paired:SRR9844159
SRR9844160	sra-paired:SRR9844160
SRR9844161	sra-paired:SRR9844161
SRR9844162	sra-paired:SRR9844162
SRR9844163	sra-paired:SRR9844163
SRR9844164	sra-paired:SRR9844164
SRR9844165	sra-paired:SRR9844165
SRR9844166	sra-paired:SRR9844166
SRR9844167	sra-paired:SRR9844167
SRR9844168	sra-paired:SRR9844168
SRR9844169	sra-paired:SRR9844169
SRR9844170	sra-paired:SRR9844170
SRR9844171	sra-paired:SRR9844171
SRR9844172	sra-paired:SRR9844172
SRR9844173	sra-paired:SRR9844173
SRR9844174	sra-paired:SRR9844174
SRR9844175	sra-paired:SRR9844175
SRR9844176	sra-paired:SRR9844176
SRR9844177	sra-paired:SRR9844177
SRR9844178	sra-paired:SRR9844178
SRR9844179	sra-paired:SRR9844179
SRR9844180	sra-paired:SRR9844180
SRR9844181	sra-paired:SRR9844181
SRR9844182	sra-paired:SRR9844182
SRR9844183	sra-paired:SRR9844183
SRR9844184	sra-paired:SRR9844184
SRR9844185	sra-paired:SRR9844185
SRR9844186	sra-paired:SRR9844186
SRR9844187	sra-paired:SRR9844187
SRR9844188	sra-paired:SRR9844188
SRR9844189	sra-paired:SRR9844189
