SRS5179467.SRR9865589	sra-paired:SRR9865589
SRS5179464.SRR9865592	sra-paired:SRR9865592
SRS5179465.SRR9865591	sra-paired:SRR9865591
SRS5179478.SRR9865746	sra-paired:SRR9865746
SRS5179479.SRR9865745	sra-paired:SRR9865745
SRS5179455.SRR9865601	sra-paired:SRR9865601
SRS5179456.SRR9865600	sra-paired:SRR9865600
SRS5179457.SRR9865599	sra-paired:SRR9865599
SRS5179458.SRR9865598	sra-paired:SRR9865598
SRS5179459.SRR9865597	sra-paired:SRR9865597
SRS5179460.SRR9865596	sra-paired:SRR9865596
SRS5179443.SRR9865613	sra-paired:SRR9865613
SRS5179444.SRR9865612	sra-paired:SRR9865612
SRS5179618.SRR9865780	sra-paired:SRR9865780
SRS5179617.SRR9865781	sra-paired:SRR9865781
SRS5179620.SRR9865778	sra-paired:SRR9865778
SRS5179619.SRR9865779	sra-paired:SRR9865779
SRS5179606.SRR9865792	sra-paired:SRR9865792
SRS5179605.SRR9865793	sra-paired:SRR9865793
SRS5179615.SRR9865782	sra-paired:SRR9865782
SRS5179616.SRR9865783	sra-paired:SRR9865783
SRS5179603.SRR9865795	sra-paired:SRR9865795
SRS5179409.SRR9865646	sra-paired:SRR9865646
SRS5179411.SRR9865645	sra-paired:SRR9865645
SRS5179412.SRR9865644	sra-paired:SRR9865644
SRS5179407.SRR9865649	sra-paired:SRR9865649
SRS5179408.SRR9865648	sra-paired:SRR9865648
SRS5179267.SRR9865447	sra-paired:SRR9865447
SRS5179266.SRR9865448	sra-paired:SRR9865448
SRS5179257.SRR9865457	sra-paired:SRR9865457
SRS5179256.SRR9865458	sra-paired:SRR9865458
SRS5179271.SRR9865443	sra-paired:SRR9865443
SRS5179270.SRR9865444	sra-paired:SRR9865444
SRS5179269.SRR9865445	sra-paired:SRR9865445
SRS5179268.SRR9865446	sra-paired:SRR9865446
SRS5179255.SRR9865459	sra-paired:SRR9865459
SRS5179254.SRR9865460	sra-paired:SRR9865460
SRS5179403.SRR9865653	sra-paired:SRR9865653
SRS5179461.SRR9865595	sra-paired:SRR9865595
SRS5179401.SRR9865655	sra-paired:SRR9865655
SRS5179425.SRR9865631	sra-paired:SRR9865631
SRS5179442.SRR9865614	sra-paired:SRR9865614
SRS5179441.SRR9865615	sra-paired:SRR9865615
SRS5179586.SRR9865812	sra-paired:SRR9865812
SRS5179587.SRR9865811	sra-paired:SRR9865811
SRS5179588.SRR9865810	sra-paired:SRR9865810
SRS5179589.SRR9865809	sra-paired:SRR9865809
SRS5179590.SRR9865808	sra-paired:SRR9865808
SRS5179599.SRR9865799	sra-paired:SRR9865799
SRS5179600.SRR9865798	sra-paired:SRR9865798
SRS5179601.SRR9865797	sra-paired:SRR9865797
SRS5179570.SRR9865828	sra-paired:SRR9865828
SRS5179571.SRR9865827	sra-paired:SRR9865827
SRS5179243.SRR9865471	sra-paired:SRR9865471
