SRS11692415	sra-paired:SRR17643680
SRS11692414	sra-paired:SRR17643681
SRS11692413	sra-paired:SRR17643682
SRS11692412	sra-paired:SRR17643683
SRS11692411	sra-paired:SRR17643684
SRS11692410	sra-paired:SRR17643685
SRS11692409	sra-paired:SRR17643686
SRS11692408	sra-paired:SRR17643687
SRS11692407	sra-paired:SRR17643688
SRS11692406	sra-paired:SRR17643689
SRS11692405	sra-paired:SRR17643690
SRS11692404	sra-paired:SRR17643691
SRS11692403	sra-paired:SRR17643692
SRS11692402	sra-paired:SRR17643693
SRS11692401	sra-paired:SRR17643694
SRS11692400	sra-paired:SRR17643695
SRS11692399	sra-paired:SRR17643696
SRS11692398	sra-paired:SRR17643697
SRS11692397	sra-paired:SRR17643698
SRS11692396	sra-paired:SRR17643699
SRS11692395	sra-paired:SRR17643700
SRS11692394	sra-paired:SRR17643701
SRS11692393	sra-paired:SRR17643702
SRS11692392	sra-paired:SRR17643703
SRS11692391	sra-paired:SRR17643704
SRS11692390	sra-paired:SRR17643705
SRS11692389	sra-paired:SRR17643706
SRS11692388	sra-paired:SRR17643707
SRS11692387	sra-paired:SRR17643708
SRS11692386	sra-paired:SRR17643709
SRS11692385	sra-paired:SRR17643710
SRS11692384	sra-paired:SRR17643711
SRS11692383	sra-paired:SRR17643712
SRS11692382	sra-paired:SRR17643713
SRS11692381	sra-paired:SRR17643714
SRS11692380	sra-paired:SRR17643715
SRS11692379	sra-paired:SRR17643716
SRS11692378	sra-paired:SRR17643717
SRS11692377	sra-paired:SRR17643718
SRS11692376	sra-paired:SRR17643719
SRS11692375	sra-paired:SRR17643720
SRS11692374	sra-paired:SRR17643721
SRS11692373	sra-paired:SRR17643722
SRS11692372	sra-paired:SRR17643723
SRS11692371	sra-paired:SRR17643724
SRS11692370	sra-paired:SRR17643725
SRS11692369	sra-paired:SRR17643726
SRS11692368	sra-paired:SRR17643727
SRS11692367	sra-paired:SRR17643728
SRS11692366	sra-paired:SRR17643729
SRS11692365	sra-paired:SRR17643730
SRS11692364	sra-paired:SRR17643731
SRS11692363	sra-paired:SRR17643732
SRS11692362	sra-paired:SRR17643733
SRS11692361	sra-paired:SRR17643734
SRS11692360	sra-paired:SRR17643735
SRS11692359	sra-paired:SRR17643736
SRS11692358	sra-paired:SRR17643737
SRS11692357	sra-paired:SRR17643738
SRS11692356	sra-paired:SRR17643739
SRS11692355	sra-paired:SRR17643740
SRS11692354	sra-paired:SRR17643741
SRS11692353	sra-paired:SRR17643742
SRS11692352	sra-paired:SRR17643743
SRS11692351	sra-paired:SRR17643744
SRS11692350	sra-paired:SRR17643745
SRS11692349	sra-paired:SRR17643746
SRS11692348	sra-paired:SRR17643747
SRS11692347	sra-paired:SRR17643748
SRS11692346	sra-paired:SRR17643749
SRS11692345	sra-paired:SRR17643750
SRS11692344	sra-paired:SRR17643751
SRS11692343	sra-paired:SRR17643752
SRS11692342	sra-paired:SRR17643753
SRS11692341	sra-paired:SRR17643754
SRS11692340	sra-paired:SRR17643755
SRS11692339	sra-paired:SRR17643756
SRS11692338	sra-paired:SRR17643757
SRS11692337	sra-paired:SRR17643758
SRS11692336	sra-paired:SRR17643759
SRS11692335	sra-paired:SRR17643760
SRS11692334	sra-paired:SRR17643761
SRS11692333	sra-paired:SRR17643762
SRS11692332	sra-paired:SRR17643763
SRS11692331	sra-paired:SRR17643764
SRS11692330	sra-paired:SRR17643765
SRS11692329	sra-paired:SRR17643766
SRS11692328	sra-paired:SRR17643767
SRS11692327	sra-paired:SRR17643768
SRS11692326	sra-paired:SRR17643769
SRS11692325	sra-paired:SRR17643770
SRS11692324	sra-paired:SRR17643771
SRS11692323	sra-paired:SRR17643772
SRS11692322	sra-paired:SRR17643773
SRS11692321	sra-paired:SRR17643774
SRS11692320	sra-paired:SRR17643775
SRS11692319	sra-paired:SRR17643776
SRS11692318	sra-paired:SRR17643777
SRS11692317	sra-paired:SRR17643778
SRS11692316	sra-paired:SRR17643779
SRS11692315	sra-paired:SRR17643780
SRS11692314	sra-paired:SRR17643781
SRS11692962	sra-paired:SRR17643782
SRS11692963	sra-paired:SRR17643783
SRS11692961	sra-paired:SRR17643784
SRS11692960	sra-paired:SRR17643785
SRS11692959	sra-paired:SRR17643786
SRS11692958	sra-paired:SRR17643787
SRS11692957	sra-paired:SRR17643788
SRS11692956	sra-paired:SRR17643789
SRS11692955	sra-paired:SRR17643790
SRS11692954	sra-paired:SRR17643791
SRS11692953	sra-paired:SRR17643792
SRS11692952	sra-paired:SRR17643793
SRS11692951	sra-paired:SRR17643794
SRS11692950	sra-paired:SRR17643795
SRS11692949	sra-paired:SRR17643796
SRS11692947	sra-paired:SRR17643797
SRS11692948	sra-paired:SRR17643798
SRS11692946	sra-paired:SRR17643799
SRS11692944	sra-paired:SRR17643800
SRS11692945	sra-paired:SRR17643801
SRS11692943	sra-paired:SRR17643802
SRS11692942	sra-paired:SRR17643803
SRS11692941	sra-paired:SRR17643804
SRS11692940	sra-paired:SRR17643805
SRS11692939	sra-paired:SRR17643806
SRS11692938	sra-paired:SRR17643807
SRS11692937	sra-paired:SRR17643808
SRS11692936	sra-paired:SRR17643809
SRS11692935	sra-paired:SRR17643810
SRS11692934	sra-paired:SRR17643811
SRS11692933	sra-paired:SRR17643812
SRS11692932	sra-paired:SRR17643813
SRS11692931	sra-paired:SRR17643814
SRS11692930	sra-paired:SRR17643815
SRS11692929	sra-paired:SRR17643816
SRS11692928	sra-paired:SRR17643817
SRS11692927	sra-paired:SRR17643818
SRS11692926	sra-paired:SRR17643819
SRS11692925	sra-paired:SRR17643820
SRS11692924	sra-paired:SRR17643821
SRS11692922	sra-paired:SRR17643822
SRS11692923	sra-paired:SRR17643823
SRS11692921	sra-paired:SRR17643824
SRS11692920	sra-paired:SRR17643825
SRS11692919	sra-paired:SRR17643826
SRS11692918	sra-paired:SRR17643827
SRS11692917	sra-paired:SRR17643828
SRS11692916	sra-paired:SRR17643829
SRS11692915	sra-paired:SRR17643830
SRS11692914	sra-paired:SRR17643831
SRS11692912	sra-paired:SRR17643832
SRS11692913	sra-paired:SRR17643833
SRS11692911	sra-paired:SRR17643834
SRS11692909	sra-paired:SRR17643835
SRS11692910	sra-paired:SRR17643836
SRS11692908	sra-paired:SRR17643837
SRS11692907	sra-paired:SRR17643838
SRS11692906	sra-paired:SRR17643839
SRS11692905	sra-paired:SRR17643840
SRS11692904	sra-paired:SRR17643841
SRS11692903	sra-paired:SRR17643842
SRS11692902	sra-paired:SRR17643843
SRS11692901	sra-paired:SRR17643844
SRS11692900	sra-paired:SRR17643845
SRS11692899	sra-paired:SRR17643846
SRS11692898	sra-paired:SRR17643847
SRS11692897	sra-paired:SRR17643848
SRS11692896	sra-paired:SRR17643849
SRS11692895	sra-paired:SRR17643850
SRS11692894	sra-paired:SRR17643851
SRS11692893	sra-paired:SRR17643852
SRS11692892	sra-paired:SRR17643853
SRS11692891	sra-paired:SRR17643854
SRS11692889	sra-paired:SRR17643855
SRS11692890	sra-paired:SRR17643856
SRS11692888	sra-paired:SRR17643857
SRS11692887	sra-paired:SRR17643858
SRS11692886	sra-paired:SRR17643859
SRS11692884	sra-paired:SRR17643860
SRS11692885	sra-paired:SRR17643861
SRS11692883	sra-paired:SRR17643862
SRS11692882	sra-paired:SRR17643863
SRS11692881	sra-paired:SRR17643864
